country,date,type,hetero_mean
Germany,2020-03-11,Lockdown,0
Germany,2020-03-12,Lockdown,0
Germany,2020-03-13,Lockdown,0
Germany,2020-03-14,Lockdown,0
Germany,2020-03-15,Lockdown,0
Germany,2020-03-16,Lockdown,0
Germany,2020-03-17,Lockdown,0
Germany,2020-03-18,Lockdown,0
Germany,2020-03-19,Lockdown,0
Germany,2020-03-20,Lockdown,0
Germany,2020-03-21,Lockdown,0.125
Germany,2020-03-22,Lockdown,0.125
Germany,2020-03-23,Lockdown,0.625
Germany,2020-03-24,Lockdown,0.625
Germany,2020-03-25,Lockdown,0.625
Germany,2020-03-26,Lockdown,0.625
Germany,2020-03-27,Lockdown,0.625
Germany,2020-03-28,Lockdown,0.625
Germany,2020-03-29,Lockdown,0.625
Germany,2020-03-30,Lockdown,0.625
Germany,2020-03-31,Lockdown,0.625
Germany,2020-04-01,Lockdown,0.625
Germany,2020-04-02,Lockdown,0.625
Germany,2020-04-03,Lockdown,0.75
Germany,2020-04-04,Lockdown,0.75
Germany,2020-04-05,Lockdown,0.75
Germany,2020-04-06,Lockdown,0.75
Germany,2020-04-07,Lockdown,0.75
Germany,2020-04-08,Lockdown,0.75
Germany,2020-04-09,Lockdown,0.75
Germany,2020-04-10,Lockdown,0.75
Germany,2020-04-11,Lockdown,0.75
Germany,2020-04-12,Lockdown,0.75
Germany,2020-04-13,Lockdown,0.75
Germany,2020-04-14,Lockdown,0.75
Germany,2020-04-15,Lockdown,0.75
Germany,2020-04-16,Lockdown,0.75
Germany,2020-04-17,Lockdown,0.75
Germany,2020-04-18,Lockdown,0.75
Germany,2020-04-19,Lockdown,0.5
Germany,2020-04-20,Lockdown,0.5
Germany,2020-04-21,Lockdown,0.5
Germany,2020-04-22,Lockdown,0.5
Germany,2020-04-23,Lockdown,0.5
Germany,2020-04-24,Lockdown,0.5
Germany,2020-04-25,Lockdown,0.5
Germany,2020-04-26,Lockdown,0.375
Germany,2020-04-27,Lockdown,0.375
Germany,2020-04-28,Lockdown,0.25
Germany,2020-04-29,Lockdown,0.25
Germany,2020-04-30,Lockdown,0.25
Germany,2020-05-01,Lockdown,0.25
Germany,2020-05-02,Lockdown,0.25
Germany,2020-05-03,Lockdown,0.125
Germany,2020-05-04,Lockdown,0.125
Germany,2020-05-05,Lockdown,0.125
Germany,2020-05-06,Lockdown,0.125
Germany,2020-05-07,Lockdown,0.125
Germany,2020-05-08,Lockdown,0.125
Germany,2020-05-09,Lockdown,0.125
Germany,2020-05-10,Lockdown,0
Germany,2020-05-11,Lockdown,0
Germany,2020-05-12,Lockdown,0
Germany,2020-05-13,Lockdown,0
Germany,2020-05-14,Lockdown,0
Germany,2020-05-15,Lockdown,0
Germany,2020-05-16,Lockdown,0
Germany,2020-05-17,Lockdown,0
Germany,2020-05-18,Lockdown,0
Germany,2020-05-19,Lockdown,0
Germany,2020-05-20,Lockdown,0
Germany,2020-05-21,Lockdown,0
Germany,2020-05-22,Lockdown,0
Germany,2020-05-23,Lockdown,0
Germany,2020-05-24,Lockdown,0
Germany,2020-05-25,Lockdown,0
Germany,2020-05-26,Lockdown,0
Germany,2020-05-27,Lockdown,0
Germany,2020-05-28,Lockdown,0
Germany,2020-05-29,Lockdown,0
Germany,2020-05-30,Lockdown,0
Germany,2020-05-31,Lockdown,0
Germany,2020-06-01,Lockdown,0
Germany,2020-06-02,Lockdown,0
Germany,2020-06-03,Lockdown,0
Germany,2020-06-04,Lockdown,0
Germany,2020-06-05,Lockdown,0
Germany,2020-06-06,Lockdown,0
Germany,2020-06-07,Lockdown,0
Germany,2020-06-08,Lockdown,0
Germany,2020-06-09,Lockdown,0
Germany,2020-06-10,Lockdown,0
Germany,2020-06-11,Lockdown,0
Germany,2020-06-12,Lockdown,0
Germany,2020-06-13,Lockdown,0
Germany,2020-06-14,Lockdown,0
Germany,2020-06-15,Lockdown,0
Germany,2020-06-16,Lockdown,0
Germany,2020-06-17,Lockdown,0
Germany,2020-06-18,Lockdown,0
Germany,2020-06-19,Lockdown,0
Germany,2020-06-20,Lockdown,0
Germany,2020-06-21,Lockdown,0
Germany,2020-06-22,Lockdown,0
Germany,2020-06-23,Lockdown,0
Germany,2020-06-24,Lockdown,0
Germany,2020-06-25,Lockdown,0
Germany,2020-06-26,Lockdown,0
Germany,2020-06-27,Lockdown,0
Germany,2020-06-28,Lockdown,0
Germany,2020-06-29,Lockdown,0
Germany,2020-06-30,Lockdown,0
Germany,2020-07-01,Lockdown,0
Germany,2020-07-02,Lockdown,0
Germany,2020-07-03,Lockdown,0
Germany,2020-07-04,Lockdown,0
Germany,2020-07-05,Lockdown,0
Germany,2020-07-06,Lockdown,0
Germany,2020-07-07,Lockdown,0
Germany,2020-07-08,Lockdown,0
Germany,2020-07-09,Lockdown,0
Germany,2020-07-10,Lockdown,0
Germany,2020-07-11,Lockdown,0
Germany,2020-07-12,Lockdown,0
Germany,2020-07-13,Lockdown,0
Germany,2020-07-14,Lockdown,0
Germany,2020-07-15,Lockdown,0
Germany,2020-07-16,Lockdown,0
Germany,2020-07-17,Lockdown,0
Germany,2020-07-18,Lockdown,0
Germany,2020-07-19,Lockdown,0
Germany,2020-07-20,Lockdown,0
Germany,2020-07-21,Lockdown,0
Germany,2020-07-22,Lockdown,0
Italy,2020-01-01,Lockdown,0
Italy,2020-01-02,Lockdown,0
Italy,2020-01-03,Lockdown,0
Italy,2020-01-04,Lockdown,0
Italy,2020-01-05,Lockdown,0
Italy,2020-01-06,Lockdown,0
Italy,2020-01-07,Lockdown,0
Italy,2020-01-08,Lockdown,0
Italy,2020-01-09,Lockdown,0
Italy,2020-01-10,Lockdown,0
Italy,2020-01-11,Lockdown,0
Italy,2020-01-12,Lockdown,0
Italy,2020-01-13,Lockdown,0
Italy,2020-01-14,Lockdown,0
Italy,2020-01-15,Lockdown,0
Italy,2020-01-16,Lockdown,0
Italy,2020-01-17,Lockdown,0
Italy,2020-01-18,Lockdown,0
Italy,2020-01-19,Lockdown,0
Italy,2020-01-20,Lockdown,0
Italy,2020-01-21,Lockdown,0
Italy,2020-01-22,Lockdown,0
Italy,2020-01-23,Lockdown,0
Italy,2020-01-24,Lockdown,0
Italy,2020-01-25,Lockdown,0
Italy,2020-01-26,Lockdown,0
Italy,2020-01-27,Lockdown,0
Italy,2020-01-28,Lockdown,0
Italy,2020-01-29,Lockdown,0
Italy,2020-01-30,Lockdown,0
Italy,2020-01-31,Lockdown,0
Italy,2020-02-01,Lockdown,0
Italy,2020-02-02,Lockdown,0
Italy,2020-02-03,Lockdown,0
Italy,2020-02-04,Lockdown,0
Italy,2020-02-05,Lockdown,0
Italy,2020-02-06,Lockdown,0
Italy,2020-02-07,Lockdown,0
Italy,2020-02-08,Lockdown,0
Italy,2020-02-09,Lockdown,0
Italy,2020-02-10,Lockdown,0
Italy,2020-02-11,Lockdown,0
Italy,2020-02-12,Lockdown,0
Italy,2020-02-13,Lockdown,0
Italy,2020-02-14,Lockdown,0
Italy,2020-02-15,Lockdown,0
Italy,2020-02-16,Lockdown,0
Italy,2020-02-17,Lockdown,0
Italy,2020-02-18,Lockdown,0
Italy,2020-02-19,Lockdown,0
Italy,2020-02-20,Lockdown,0
Italy,2020-02-21,Lockdown,0
Italy,2020-02-22,Lockdown,0
Italy,2020-02-23,Lockdown,0
Italy,2020-02-24,Lockdown,0
Italy,2020-02-25,Lockdown,0
Italy,2020-02-26,Lockdown,0
Italy,2020-02-27,Lockdown,0
Italy,2020-02-28,Lockdown,0
Italy,2020-02-29,Lockdown,0
Italy,2020-03-01,Lockdown,0
Italy,2020-03-02,Lockdown,0
Italy,2020-03-03,Lockdown,0
Italy,2020-03-04,Lockdown,0
Italy,2020-03-05,Lockdown,0
Italy,2020-03-06,Lockdown,0
Italy,2020-03-07,Lockdown,0
Italy,2020-03-08,Lockdown,0.09999999999999998
Italy,2020-03-09,Lockdown,0.09999999999999998
Italy,2020-03-10,Lockdown,0
Italy,2020-03-11,Lockdown,0
Italy,2020-03-12,Lockdown,0
Italy,2020-03-13,Lockdown,0
Italy,2020-03-14,Lockdown,0
Italy,2020-03-15,Lockdown,0
Italy,2020-03-16,Lockdown,0
Italy,2020-03-17,Lockdown,0
Italy,2020-03-18,Lockdown,0
Italy,2020-03-19,Lockdown,0
Italy,2020-03-20,Lockdown,0
Italy,2020-03-21,Lockdown,0
Italy,2020-03-22,Lockdown,0
Italy,2020-03-23,Lockdown,0
Italy,2020-03-24,Lockdown,0
Italy,2020-03-25,Lockdown,0
Italy,2020-03-26,Lockdown,0
Italy,2020-03-27,Lockdown,0
Italy,2020-03-28,Lockdown,0
Italy,2020-03-29,Lockdown,0
Italy,2020-03-30,Lockdown,0
Italy,2020-03-31,Lockdown,0
Italy,2020-04-01,Lockdown,0
Italy,2020-04-02,Lockdown,0
Italy,2020-04-03,Lockdown,0
Italy,2020-04-04,Lockdown,0
Italy,2020-04-05,Lockdown,0
Italy,2020-04-06,Lockdown,0
Italy,2020-04-07,Lockdown,0
Italy,2020-04-08,Lockdown,0
Italy,2020-04-09,Lockdown,0
Italy,2020-04-10,Lockdown,0
Italy,2020-04-11,Lockdown,0
Italy,2020-04-12,Lockdown,0
Italy,2020-04-13,Lockdown,0
Italy,2020-04-14,Lockdown,0
Italy,2020-04-15,Lockdown,0
Italy,2020-04-16,Lockdown,0
Italy,2020-04-17,Lockdown,0
Italy,2020-04-18,Lockdown,0
Italy,2020-04-19,Lockdown,0
Italy,2020-04-20,Lockdown,0
Italy,2020-04-21,Lockdown,0
Italy,2020-04-22,Lockdown,0
Italy,2020-04-23,Lockdown,0
Italy,2020-04-24,Lockdown,0
Italy,2020-04-25,Lockdown,0
Italy,2020-04-26,Lockdown,0
Italy,2020-04-27,Lockdown,0
Italy,2020-04-28,Lockdown,0
Italy,2020-04-29,Lockdown,0
Italy,2020-04-30,Lockdown,0
Italy,2020-05-01,Lockdown,0
Italy,2020-05-02,Lockdown,0
Italy,2020-05-03,Lockdown,0
Italy,2020-05-04,Lockdown,0
Italy,2020-05-05,Lockdown,0
Italy,2020-05-06,Lockdown,0
Italy,2020-05-07,Lockdown,0
Italy,2020-05-08,Lockdown,0
Italy,2020-05-09,Lockdown,0
Italy,2020-05-10,Lockdown,0
Italy,2020-05-11,Lockdown,0
Italy,2020-05-12,Lockdown,0
Italy,2020-05-13,Lockdown,0
Italy,2020-05-14,Lockdown,0
Italy,2020-05-15,Lockdown,0
Italy,2020-05-16,Lockdown,0
Italy,2020-05-17,Lockdown,0
Italy,2020-05-18,Lockdown,0
Italy,2020-05-19,Lockdown,0
Italy,2020-05-20,Lockdown,0
Italy,2020-05-21,Lockdown,0
Italy,2020-05-22,Lockdown,0
Italy,2020-05-23,Lockdown,0
Italy,2020-05-24,Lockdown,0
Italy,2020-05-25,Lockdown,0
Italy,2020-05-26,Lockdown,0
Italy,2020-05-27,Lockdown,0
Italy,2020-05-28,Lockdown,0
Italy,2020-05-29,Lockdown,0
Italy,2020-05-30,Lockdown,0
Italy,2020-05-31,Lockdown,0
Italy,2020-06-01,Lockdown,0
Italy,2020-06-02,Lockdown,0
Italy,2020-06-03,Lockdown,0
Italy,2020-06-04,Lockdown,0
Italy,2020-06-05,Lockdown,0
Italy,2020-06-06,Lockdown,0
Italy,2020-06-07,Lockdown,0
Italy,2020-06-08,Lockdown,0
Italy,2020-06-09,Lockdown,0
Italy,2020-06-10,Lockdown,0
Italy,2020-06-11,Lockdown,0
Italy,2020-06-12,Lockdown,0
Italy,2020-06-13,Lockdown,0
Italy,2020-06-14,Lockdown,0
Italy,2020-06-15,Lockdown,0
Italy,2020-06-16,Lockdown,0
Italy,2020-06-17,Lockdown,0
Italy,2020-06-18,Lockdown,0
Italy,2020-06-19,Lockdown,0
Italy,2020-06-20,Lockdown,0
Italy,2020-06-21,Lockdown,0
Italy,2020-06-22,Lockdown,0
Italy,2020-06-23,Lockdown,0
Italy,2020-06-24,Lockdown,0
Italy,2020-06-25,Lockdown,0
Italy,2020-06-26,Lockdown,0
Italy,2020-06-27,Lockdown,0
Italy,2020-06-28,Lockdown,0
Italy,2020-06-29,Lockdown,0
Italy,2020-06-30,Lockdown,0
Italy,2020-07-01,Lockdown,0
Italy,2020-07-02,Lockdown,0
Italy,2020-07-03,Lockdown,0
Italy,2020-07-04,Lockdown,0
Italy,2020-07-05,Lockdown,0
Italy,2020-07-06,Lockdown,0
Italy,2020-07-07,Lockdown,0
Italy,2020-07-08,Lockdown,0
Italy,2020-07-09,Lockdown,0
Italy,2020-07-10,Lockdown,0
Italy,2020-07-11,Lockdown,0
Italy,2020-07-12,Lockdown,0
Italy,2020-07-13,Lockdown,0
Italy,2020-07-14,Lockdown,0
Italy,2020-07-15,Lockdown,0
Italy,2020-07-16,Lockdown,0
Italy,2020-07-17,Lockdown,0
Italy,2020-07-18,Lockdown,0
Italy,2020-07-19,Lockdown,0
Italy,2020-07-20,Lockdown,0
Italy,2020-07-21,Lockdown,0
Italy,2020-07-22,Lockdown,0
Switzerland,2020-01-01,Lockdown,0
Switzerland,2020-01-02,Lockdown,0
Switzerland,2020-01-03,Lockdown,0
Switzerland,2020-01-04,Lockdown,0
Switzerland,2020-01-05,Lockdown,0
Switzerland,2020-01-06,Lockdown,0
Switzerland,2020-01-07,Lockdown,0
Switzerland,2020-01-08,Lockdown,0
Switzerland,2020-01-09,Lockdown,0
Switzerland,2020-01-10,Lockdown,0
Switzerland,2020-01-11,Lockdown,0
Switzerland,2020-01-12,Lockdown,0
Switzerland,2020-01-13,Lockdown,0
Switzerland,2020-01-14,Lockdown,0
Switzerland,2020-01-15,Lockdown,0
Switzerland,2020-01-16,Lockdown,0
Switzerland,2020-01-17,Lockdown,0
Switzerland,2020-01-18,Lockdown,0
Switzerland,2020-01-19,Lockdown,0
Switzerland,2020-01-20,Lockdown,0
Switzerland,2020-01-21,Lockdown,0
Switzerland,2020-01-22,Lockdown,0
Switzerland,2020-01-23,Lockdown,0
Switzerland,2020-01-24,Lockdown,0
Switzerland,2020-01-25,Lockdown,0
Switzerland,2020-01-26,Lockdown,0
Switzerland,2020-01-27,Lockdown,0
Switzerland,2020-01-28,Lockdown,0
Switzerland,2020-01-29,Lockdown,0
Switzerland,2020-01-30,Lockdown,0
Switzerland,2020-01-31,Lockdown,0
Switzerland,2020-02-01,Lockdown,0
Switzerland,2020-02-02,Lockdown,0
Switzerland,2020-02-03,Lockdown,0
Switzerland,2020-02-04,Lockdown,0
Switzerland,2020-02-05,Lockdown,0
Switzerland,2020-02-06,Lockdown,0
Switzerland,2020-02-07,Lockdown,0
Switzerland,2020-02-08,Lockdown,0
Switzerland,2020-02-09,Lockdown,0
Switzerland,2020-02-10,Lockdown,0
Switzerland,2020-02-11,Lockdown,0
Switzerland,2020-02-12,Lockdown,0
Switzerland,2020-02-13,Lockdown,0
Switzerland,2020-02-14,Lockdown,0
Switzerland,2020-02-15,Lockdown,0
Switzerland,2020-02-16,Lockdown,0
Switzerland,2020-02-17,Lockdown,0
Switzerland,2020-02-18,Lockdown,0
Switzerland,2020-02-19,Lockdown,0
Switzerland,2020-02-20,Lockdown,0
Switzerland,2020-02-21,Lockdown,0
Switzerland,2020-02-22,Lockdown,0
Switzerland,2020-02-23,Lockdown,0
Switzerland,2020-02-24,Lockdown,0
Switzerland,2020-02-25,Lockdown,0
Switzerland,2020-02-26,Lockdown,0
Switzerland,2020-02-27,Lockdown,0
Switzerland,2020-02-28,Lockdown,0
Switzerland,2020-02-29,Lockdown,0
Switzerland,2020-03-01,Lockdown,0
Switzerland,2020-03-02,Lockdown,0
Switzerland,2020-03-03,Lockdown,0
Switzerland,2020-03-04,Lockdown,0
Switzerland,2020-03-05,Lockdown,0
Switzerland,2020-03-06,Lockdown,0
Switzerland,2020-03-07,Lockdown,0
Switzerland,2020-03-08,Lockdown,0
Switzerland,2020-03-09,Lockdown,0
Switzerland,2020-03-10,Lockdown,0
Switzerland,2020-03-11,Lockdown,0
Switzerland,2020-03-12,Lockdown,0
Switzerland,2020-03-13,Lockdown,0
Switzerland,2020-03-14,Lockdown,0
Switzerland,2020-03-15,Lockdown,0
